title,link,abstract,authors,created
Funders must get behind brain project data sharing,https://www.nature.com/articles/d41586-024-00184-8,,"Helena Ledmyr, Mathew Abrams, Randy McIntosh",2024-01-23
Editorial,/article/10.1007/s12021-022-09564-9,“It’s dangerous to make forecasts. Especially about the future.”,John Darrell Van Horn,2022-01-01
Data sharing in neuroimaging: experiences from the BIDS project,/article/10.1038/s41583-023-00762-1,Data sharing is an essential component of open science practice. The Brain Imaging Data Structure project has pioneered a way to organize neuroimaging and behavioural data that enables easy sharing and reuse. We present experiences from the BIDS project and highlight how standards can promote open science.,"Melanie Ganz, Russell A. Poldrack",2023-10-24
Correction to: Geometric Reliability of Super-Resolution Reconstructed Images from Clinical Fetal MRI in the Second Trimester,/article/10.1007/s12021-023-09642-6,Correction to: Neuroinformatics (2023) 21:549–563,"Tommaso Ciceri, Letizia Squarcina, ... Denis Peruzzo",2023-09-19
"Reproducible Tract Profiles 2 (RTP2) suite, from diffusion MRI acquisition to clinical practice and research",/article/10.1038/s41598-023-32924-7,"Diffusion MRI is a complex technique, where new discoveries and implementations occur at a fast pace. The expertise needed for data analyses and accurate and reproducible results is increasingly demanding and requires multidisciplinary collaborations. In the present work we introduce Reproducible Tract Profiles 2 (RTP2), a set of flexible and automated methods to analyze anatomical MRI and diffusion weighted imaging (DWI) data for reproducible tractography. RTP2 reads structural MRI data and processes them through a succession of serialized containerized analyses. We describe the DWI algorithms used to identify white-matter tracts and their summary metrics, the flexible architecture of the platform, and the tools to programmatically access and control the computations. The combination of these three components provides an easy-to-use automatized tool developed and tested over 20 years, to obtain usable and reliable state-of-the-art diffusion metrics at the individual and group levels for basic research and clinical practice.","Garikoitz Lerma-Usabiaga, Mengxing Liu, ... Brian A. Wandell",2023-04-12
Neuroimaging Neuroinformatics: Sample Size and Other Evolutionary Topics,/article/10.1007/s12021-018-9379-8,"The field of neuroinformatics has come a long way since this journal was founded in 2003. Many neuroinformatics-based tools, resources and initiatives have been developed, and continue to evolve in order to provide critical infrastructure support to expand the study of neuroscience. Over these first fifteen years of this journal, Drs. De Schutter, Ascoli and I have striven to bring a broad perspective to this diverse field. However, to keep the spirit of the journal fresh and up to date, the time has come to initiate some gentle evolution of the leadership of the journal. In order to better serve the neuroimaging subdomain, we are making some adjustments to the leadership structure of the journal. Specifically, as of July 1, 2018, we are pleased to announce that John Van Horn will be joining me in a new role of Co-Associate Editors for neuroimaging neuroinformatics. This change will help to strengthen our commitment to the neuroimaging area. While I will be stepping down from the Co-Editor-in-Chief role, I am confident that this new editorial configuration will continue to support the overall neuroinformatics discipline with greater efficiency.",David N. Kennedy,2018-04-27
Correction to: Building FAIR Functionality: Annotating Events in Time Series Data Using Hierarchical Event Descriptors (HED),/article/10.1007/s12021-023-09628-4,"Correction to: Neuroinformatics (2021) 20:463-481 

https://doi.org/10.1007/s12021-021-09537-4","Kay Robbins, Dung Truong, ... Scott Makeig",2023-04-11
Correction to: Deconvolution of the Functional Ultrasound Response in the Mouse Visual Pathway Using Block-Term Decomposition,/article/10.1007/s12021-022-09619-x,Correction to: Neuroinformatics,"Aybüke Erol, Chagajeg Soloukey, ... Borbála Hunyadi",2022-12-26
Correction to: Multi-Subject Analysis for Brain Developmental Patterns Discovery via Tensor Decomposition of MEG Data,/article/10.1007/s12021-023-09620-y,"Correction to: Neuroinformatics

https://doi.org/10.1007/s12021-022-09599-y","Irina Belyaeva, Ben Gabrielson, ... Tülay Adali",2023-01-17
Correction to: Bayesian Coherence Analysis for Microcircuit Structure Learning,/article/10.1007/s12021-022-09611-5,"Correction to: Neuroinformatics 

https://doi.org/10.1007/s12021-022-09608-0",Rong Chen,2022-10-13
"A Comprehensive, FAIR File Format for Neuroanatomical Structure Modeling",/article/10.1007/s12021-021-09530-x,"With advances in microscopy and computer science, the technique of digitally reconstructing, modeling, and quantifying microscopic anatomies has become central to many fields of biological research. MBF Bioscience has chosen to openly document their digital reconstruction file format, the Neuromorphological File Specification, available at www.mbfbioscience.com/filespecification (Angstman et al., 2020). The format, created and maintained by MBF Bioscience, is broadly utilized by the neuroscience community. The data format’s structure and capabilities have evolved since its inception, with modifications made to keep pace with advancements in microscopy and the scientific questions raised by worldwide experts in the field. More recent modifications to the neuromorphological file format ensure it abides by the Findable, Accessible, Interoperable, and Reusable (FAIR) data principles promoted by the International Neuroinformatics Coordinating Facility (INCF; Wilkinson et al., Scientific Data, 3, 160018,, 2016). The incorporated metadata make it easy to identify and repurpose these data types for downstream applications and investigation. This publication describes key elements of the file format and details their relevant structural advantages in an effort to encourage the reuse of these rich data files for alternative analysis or reproduction of derived conclusions.","A. E. Sullivan, S. J. Tappan, ... Jack R. Glaser",2021-10-02
Kinetic–Statistical Neuromodeling and Problems of Trust in Artificial Intelligence Systems,/article/10.1134/S105261882307004X,"The focus of this article is related to cognitive sciences: the problems of modeling neural networks and consciousness in general are discussed. Examples of the inadequacy of artificial intelligence systems based on neural network modeling are given, and problems of the modern numerical model of neural networks are considered. In order to solve these problems, the methodology of consciousness neuromodeling based on kinetic-statistical methods is proposed. It is shown that, in the process of quasi-chaotic complication of the neuro-like graph during the percolation transition, large structures (clusters) are formed, which can be interpreted as a manifestation of the primary elements of consciousness. The manifestation of the phenomenon of self-consciousness in the process of complication of the system of neural clusters is discussed. It is possible to use the results of this research for generation of complex neural networks with criteria of finite structure evaluation (number of cycles, simple paths, and Euler’s number).","A. Yu. Alekseev, V. V. Aristov, ... I. V. Stepanyan",2023-12-28
"AI & robotics briefing: Happy birthday, ChatGPT!",https://www.nature.com/articles/d41586-023-03878-7,,Katrina Krämer,2023-12-05
A paired dataset of T1- and T2-weighted MRI at 3 Tesla and 7 Tesla,/article/10.1038/s41597-023-02400-y,"Brain magnetic resonance imaging (MRI) provides detailed soft tissue contrasts that are critical for disease diagnosis and neuroscience research. Higher MRI resolution typically comes at the cost of signal-to-noise ratio (SNR) and tissue contrast, particularly for more common 3 Tesla (3T) MRI scanners. At ultra-high magnetic field strength, 7 Tesla (7T) MRI allows for higher resolution with greater tissue contrast and SNR. However, the prohibitively high costs of 7T MRI scanners deter their widespread adoption in clinical and research centers. To obtain higher-quality images without 7T MRI scanners, algorithms that can synthesize 7T MR images from 3T MR images are under active development. Here, we make available a dataset of paired T1-weighted and T2-weighted MR images at 3T and 7T of 10 healthy subjects to facilitate the development and evaluation of 3T-to-7T MR image synthesis models. The quality of the dataset is assessed using image quality metrics implemented in MRIQC.","Xiaoyang Chen, Liangqiong Qu, ... Pew-Thian Yap",2023-07-27
Align with the NMIND consortium for better neuroimaging,/article/10.1038/s41562-023-01647-0,"Szucs, D. & Ioannidis, J. P. Neuroimage 221, 117164 (2020).","Gregory Kiar, Jon Clucas, ... Damien Fair",2023-06-29
Standard metadata for 3D microscopy,/article/10.1038/s41597-022-01562-5,"Recent advances in fluorescence microscopy techniques and tissue clearing, labeling, and staining provide unprecedented opportunities to investigate brain structure and function. These experiments’ images make it possible to catalog brain cell types and define their location, morphology, and connectivity in a native context, leading to a better understanding of normal development and disease etiology. Consistent annotation of metadata is needed to provide the context necessary to understand, reuse, and integrate these data. This report describes an effort to establish metadata standards for three-dimensional (3D) microscopy datasets for use by the Brain Research through Advancing Innovative Neurotechnologies® (BRAIN) Initiative and the neuroscience research community. These standards were built on existing efforts and developed with input from the brain microscopy community to promote adoption. The resulting 3D Microscopy Metadata Standards (3D-MMS) includes 91 fields organized into seven categories: Contributors, Funders, Publication, Instrument, Dataset, Specimen, and Image. Adoption of these metadata standards will ensure that investigators receive credit for their work, promote data reuse, facilitate downstream analysis of shared data, and encourage collaboration.","Alexander J. Ropelewski, Megan A. Rizzo, ... Wayne Huggins",2022-07-27
Correction to: 3dSpAn: An interactive software for 3D segmentation and analysis of dendritic spines,/article/10.1007/s12021-022-09589-0,"The original version of this article, unfortunately, contained mistakes.","Nirmal Das, Ewa Baczynska, ... Subhadip Basu",2022-06-01
Data sharing is the future,/article/10.1038/s41592-023-01865-4,We examine data sharing practices and explore possible future directions.,,2023-04-12
Online conversion of reconstructed neural morphologies into standardized SWC format,/article/10.1038/s41467-023-42931-x,"Digital reconstructions provide an accurate and reliable way to store, share, model, quantify, and analyze neural morphology. Continuous advances in cellular labeling, tissue processing, microscopic imaging, and automated tracing catalyzed a proliferation of software applications to reconstruct neural morphology. These computer programs typically encode the data in custom file formats. The resulting format heterogeneity severely hampers the interoperability and reusability of these valuable data. Among these many alternatives, the SWC file format has emerged as a popular community choice, coalescing a rich ecosystem of related neuroinformatics resources for tracing, visualization, analysis, and simulation. This report presents a standardized specification of the SWC file format. In addition, we introduce xyz2swc, a free online service that converts all 26 reconstruction formats (and 72 variations) described in the scientific literature into the SWC standard. The xyz2swc service is available open source through a user-friendly browser interface (https://neuromorpho.org/xyz2swc/ui/) and an Application Programming Interface (API).","Ketan Mehta, Bengt Ljungquist, ... Giorgio A. Ascoli",2023-11-16
Correction to: Reproducible Inter-Personal Brain Coupling Measurements in Hyperscanning Settings With functional Near Infra-Red Spectroscopy,/article/10.1007/s12021-022-09562-x,"The original version of this article, published on 29 October 2021, unfortunately contained a mistake. The first and the last names of the authors were interchanged.","Andrea Bizzego, Atiqah Azhari, Gianluca Esposito",2022-01-13
Technical Perspective: Research on General-Purpose Brain-Inspired Computing Systems,/article/10.1007/s11390-024-0001-2,"Thakur C S, Molin J L, Cauwenberghs G, Indiveri G, Kumar K, Qiao N, Schemmel J, Wang R C, Chicca E, Hasler J O, Seo J S, YU S M, CCAO Y, Van Schaik A, Etienne-Cummings R. Large-scale neuromorphic spiking array processors: A quest to mimic the brain. Frontiers in Neuroscience, 2018, 12: 891. https://doi.org/10.3389/fnins.2018.00891.",Oliver Rhodes,2024-01-30
Correction to: High‑throughput Analysis of Synaptic Activity in Electrically Stimulated Neuronal Cultures,/article/10.1007/s12021-021-09543-6,The original version of this article unfortunately contained mistakes.,"Michiel Van Dyck, Rajiv K. Mishra, ... Winnok H. De Vos",2021-09-10
Editorial: What the New White House Rules on Equitable Access Mean for the Neurosciences,/article/10.1007/s12021-022-09618-y,"Immediate access to published research studies and the sharing of the raw data which underly them have long been a topic of considerable interest in the brain sciences. The recent announcement
Footnote 1
 from the 
White House Office of Science and Technology Policy
 (OSTP) on August 25
th
, 2022 concerning the public availability of research literature and access to data has many in the field watching with interest on how the brain research and scholarly publishing communities will respond to government mandates on open access and the availability of primary data.",John Darrell Van Horn,2022-12-25
An Automated Tool to Classify and Transform Unstructured MRI Data into BIDS Datasets,/article/10.1007/s12021-024-09659-5,"The increasing use of neuroimaging in clinical research has driven the creation of many large imaging datasets. However, these datasets often rely on inconsistent naming conventions in image file headers to describe acquisition, and time-consuming manual curation is necessary. Therefore, we sought to automate the process of classifying and organizing magnetic resonance imaging (MRI) data according to acquisition types common to the clinical routine, as well as automate the transformation of raw, unstructured images into Brain Imaging Data Structure (BIDS) datasets. To do this, we trained an XGBoost model to classify MRI acquisition types using relatively few acquisition parameters that are automatically stored by the MRI scanner in image file metadata, which are then mapped to the naming conventions prescribed by BIDS to transform the input images to the BIDS structure. The model recognizes MRI types with 99.475% accuracy, as well as a micro/macro-averaged precision of 0.9995/0.994, a micro/macro-averaged recall of 0.9995/0.989, and a micro/macro-averaged F1 of 0.9995/0.991. Our approach accurately and quickly classifies MRI types and transforms unstructured data into standardized structures with little-to-no user intervention, reducing the barrier of entry for clinical scientists and increasing the accessibility of existing neuroimaging data.","Alexander Bartnik, Sujal Singh, ... Michael G. Dwyer",2024-03-26
Development and implementation of new diagnostic technologies in neurology,/article/10.1038/s41582-022-00692-z,"The past 5–10 years have seen rapid advances in digital sensors and imaging-based technologies for the diagnosis of neurological conditions. However, the majority of these technologies are in the early stages of development — now is the time to consider how we validate these tools and safely integrate them into clinical practice.","Cristina Granziera, Tim Woelfle, Ludwig Kappos",2022-06-27
Open science and data sharing in cognitive neuroscience with MouseBytes and MouseBytes+,/article/10.1038/s41597-023-02106-1,"Open access to rodent cognitive data has lagged behind the rapid generation of large open-access datasets in other areas of neuroscience, such as neuroimaging and genomics. One contributing factor has been the absence of uniform standardization in experiments and data output, an issue that has particularly plagued studies in animal models. Touchscreen-automated cognitive testing of animal models allows standardized outputs that are compatible with open-access sharing. Touchscreen datasets can be combined with different neuro-technologies such as fiber photometry, miniscopes, optogenetics, and MRI to evaluate the relationship between neural activity and behavior. Here we describe a platform that allows deposition of these data into an open-access repository. This platform, called MouseBytes, is a web-based repository that enables researchers to store, share, visualize, and analyze cognitive data. Here we present the architecture, structure, and the essential infrastructure behind MouseBytes. In addition, we describe MouseBytes+, a database that allows data from complementary neuro-technologies such as imaging and photometry to be easily integrated with behavioral data in MouseBytes to support multi-modal behavioral analysis.","Sara Memar, Eric Jiang, ... Marco A. M. Prado",2023-04-14
Automating Security in and Around Soccer Stadiums Through Camera Systems? Report on a Research Project,/article/10.1007/s41125-019-00056-7,"The article reports on the results of the DFG-funded interdisciplinary (social science and project neuroinformatics) Emotion. Escalation. Violence. The question was whether escalation processes (in and around football stadiums) can be detected automatically using a camera and appropriate evaluation software. The analysis of the data collected in the project (video, participant observation, interviews) showed that an automatic detection system that only looks at all factors in the situation and on site can make only limited statements about the probability of escalation processes. In addition, there is always a need for experienced human actors who are familiar with these processes and can contribute to the assessment of the situation.",Jo Reichertz,2019-12-10
Characterizing the profiles of patients with acute concussion versus prolonged post-concussion symptoms in Ontario,/article/10.1038/s41598-023-44095-6,"Identifying vulnerability factors for developing persisting concussion symptoms is imperative for determining which patients may require specialized treatment. Using cross-sectional questionnaire data from an Ontario-wide observational concussion study, we compared patients with acute concussion (≤ 14 days) and prolonged post-concussion symptoms (PPCS) (≥ 90 days) on four factors of interest: sex, history of mental health disorders, history of headaches/migraines, and past concussions. Differences in profile between the two groups were also explored. 110 patients with acute concussion and 96 patients with PPCS were included in our study. The groups did not differ on the four factors of interest. Interestingly, both groups had greater proportions of females (acute concussion: 61.1% F; PPCS: 66.3% F). Patient profiles, however, differed wherein patients with PPCS were significantly older, more symptomatic, more likely to have been injured in a transportation-related incident, and more likely to live outside a Metropolitan city. These novel risk factors for persisting concussion symptoms require replication and highlight the need to re-evaluate previously identified risk factors as more and more concussions occur in non-athletes and different risk factors may be at play.","Olivia F. T. Scott, Mikaela Bubna, ... Maria Carmela Tartaglia",2023-10-20
Towards Robust Physical Human Robot Interaction by an Adaptive Admittance Controller,/article/10.1007/s10846-023-01999-9,"The regular admittance controller cannot be easily transferred to the physical human–robot interaction scenario because of the dynamic stiffness of the human arm. The dynamic interaction of humans can cause high frequency and unsafe oscillation of the robot arm. Based on the adaptive control scheme, this paper presents an online sensory-based analytical approach to recognize and quantify the “stability index"" named as a robust haptic observer. The observer performs the Fast Fourier Transform on the interaction force signal within a sliding window and quickly detects system oscillation through a simple mathematical transformation. Compared with the existing methods, it can calculate a normalized system stability index more accurately and faster. This quantified index is employed in a linearized adaptive law to tune the parameters of the admittance controller. Experimental validation of the proposed strategy is performed and compared with state-of-the-art work in a task of human-guided drawing. The results show that our proposed approach can effectively detect oscillation, and the drawing time is shortened by 15% with the same tracking accuracy. In addition, the energy consumption is 44.4% less on average.","Guanghui Liu, Qiang Li, ... Hualiang Zhang",2023-11-03
nGauge: Integrated and Extensible Neuron Morphology Analysis in Python,/article/10.1007/s12021-022-09573-8,"The study of neuron morphology requires robust and comprehensive methods to quantify the differences between neurons of different subtypes and animal species. Several software packages have been developed for the analysis of neuron tracing results stored in the standard SWC format. The packages, however, provide relatively simple quantifications and their non-extendable architecture prohibit their use for advanced data analysis and visualization. We developed nGauge, a Python toolkit to support the parsing and analysis of neuron morphology data. As an application programming interface (API), nGauge can be referenced by other popular open-source software to create custom informatics analysis pipelines and advanced visualizations. nGauge defines an extendable data structure that handles volumetric constructions (e.g. soma), in addition to the SWC linear reconstructions, while remaining lightweight. This greatly extends nGauge’s data compatibility.","Logan A. Walker, Jennifer S. Williams, ... Dawen Cai",2022-03-05
Serum biomarkers identify critically ill traumatic brain injury patients for MRI,/article/10.1186/s13054-022-04250-3,"Magnetic resonance imaging (MRI) carries prognostic importance after traumatic brain injury (TBI), especially when computed tomography (CT) fails to fully explain the level of unconsciousness. However, in critically ill patients, the risk of deterioration during transfer needs to be balanced against the benefit of detecting prognostically relevant information on MRI. We therefore aimed to assess if day of injury serum protein biomarkers could identify critically ill TBI patients in whom the risks of transfer are compensated by the likelihood of detecting management-altering neuroimaging findings.","Sophie Richter, Stefan Winzeck, ... Tommaso Zoerle",2022-11-29
Impact of defacing on automated brain atrophy estimation,/article/10.1186/s13244-022-01195-7,"Defacing has become mandatory for anonymization of brain MRI scans; however, concerns regarding data integrity were raised. Thus, we systematically evaluated the effect of different defacing procedures on automated brain atrophy estimation.","Christian Rubbert, Luisa Wolf, ... Julian Caspers",2022-03-26
Functionally Logical Modeling of the Σπ-Neuron,/article/10.1007/s10958-021-05247-z,"In this paper, we suggest a circuitry method of the realization of a logical ΣΠ-neuron. We present digital and hybrid schemes of the logical ΣΠ-neuron. Each scheme is divided into two layers, which realize the multiplicative and additive operations, respectively. The schemes are constructed on the basis of digital and analogue elements. The layer performing the multiplicative function is identical in both schemes. The additive layer in the digital scheme is realized by the digital summator. In the hybrid scheme, it is realized by digital-to-analogue converters and the analogue summator of voltages. To realize the threshold function, the hybrid scheme uses a comparator and the digital one uses a digital comparator. The results obtained can be used for the construction of ΣΠ-neural networks.",M. A. Kazakov,2021-02-14
Machine Learning for Brain Imaging Genomics Methods: A Review,/article/10.1007/s11633-022-1361-0,"In the past decade, multimodal neuroimaging and genomic techniques have been increasingly developed. As an interdisciplinary topic, brain imaging genomics is devoted to evaluating and characterizing genetic variants in individuals that influence phenotypic measures derived from structural and functional brain imaging. This technique is capable of revealing the complex mechanisms by macroscopic intermediates from the genetic level to cognition and psychiatric disorders in humans. It is well known that machine learning is a powerful tool in the data-driven association studies, which can fully utilize priori knowledge (intercorrelated structure information among imaging and genetic data) for association modelling. In addition, the association study is able to find the association between risk genes and brain structure or function so that a better mechanistic understanding of behaviors or disordered brain functions is explored. In this paper, the related background and fundamental work in imaging genomics are first reviewed. Then, we show the univariate learning approaches for association analysis, summarize the main idea and modelling in genetic-imaging association studies based on multivariate machine learning, and present methods for joint association analysis and outcome prediction. Finally, this paper discusses some prospects for future work.","Mei-Ling Wang, Wei Shao, ... Dao-Qiang Zhang",2023-01-10
An open relaxation-diffusion MRI dataset in neurosurgical studies,/article/10.1038/s41597-024-03013-9,"Diffusion MRI (dMRI) is a safe and noninvasive technique that provides insight into the microarchitecture of brain tissue. Relaxation-diffusion MRI (rdMRI) is an extension of traditional dMRI that captures diffusion imaging data at multiple TEs to detect tissue heterogeneity between relaxation and diffusivity. rdMRI has great potential in neurosurgical research including brain tumor grading and treatment response evaluation. However, the lack of available data has limited the exploration of rdMRI in clinical settings. To address this, we are sharing a high-quality rdMRI dataset from 18 neurosurgical patients with different types of lesions, as well as two healthy individuals as controls. The rdMRI data was acquired using 7 TEs, where at each TE multi-shell dMRI with high spatial and angular resolutions is obtained at each TE. Each rdMRI scan underwent thorough artifact and distortion corrections using a specially designed processing pipeline. The dataset’s quality was assessed using standard practices, including quality control and assurance. This resource is a valuable addition to neurosurgical studies, and all data are openly accessible.","Ye Wu, Xiaoming Liu, ... Fan Zhang",2024-02-07
